website,allDates,moreinfo,location,contact,description,price,venue,name,image
,"04/10/2011 3:00PM, 12/17/2010 7:30PM, 10/09/2010 7:30PM",http://www.zipscene.com/events/view/2564487-chicago-blackhawks-vs-detroit-red-wings-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Detroit Red Wings,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"11/10/2010 7:30PM, 02/27/2011 6:00PM",http://www.zipscene.com/events/view/2564383-chicago-blackhawks-vs-phoenix-coyotes-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Phoenix Coyotes,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"10/18/2010 7:30PM, 11/30/2010 7:30PM, 04/06/2011 7:30PM",http://www.zipscene.com/events/view/2563793-chicago-blackhawks-vs-st-louis-blues-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. St. Louis Blues,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"03/02/2011 8:00PM, 12/05/2010 6:00PM",http://www.zipscene.com/events/view/2565225-chicago-blackhawks-vs-calgary-flames-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Calgary Flames,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"10/15/2010 7:00PM, 02/01/2011 7:00PM, 04/01/2011 7:00PM",http://www.zipscene.com/events/view/2568285-columbus-blue-jackets-vs-chicago-blackhawks-columbus,"200 W. Nationwide Blvd., Columbus, OH 43215",614-246-2000,,,Nationwide Arena,Columbus Blue Jackets vs. Chicago Blackhawks,http://static1.zipscene.com//data/business_md/BUS_00027021_0_zp1TVdu8.jpg
,"10/18/2010 7:30PM, 11/30/2010 7:30PM, 04/06/2011 7:30PM",http://www.zipscene.com/events/view/2567359-chicago-blackhawks-vs-st-louis-blues-chicago,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. St. Louis Blues,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"04/08/2011 7:00PM, 11/16/2010 7:00PM",http://www.zipscene.com/events/view/2652277-indiana-pacers-vs-atlanta-hawks-indianapolis,"125 S. Pennsylvania St., Indianapolis, IN 46204",317-917-2755,,,Conseco Fieldhouse,Indiana Pacers vs. Atlanta Hawks,http://static0.zipscene.com//data/business_md/BUS_00026697_0_tT3fNIGv.jpg
,"02/27/2011 6:00PM, 11/10/2010 7:30PM",http://www.zipscene.com/events/view/2564383-chicago-blackhawks-vs-phoenix-coyotes-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Phoenix Coyotes,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"02/27/2011 6:00PM, 11/10/2010 7:30PM",http://www.zipscene.com/events/view/2564383-chicago-blackhawks-vs-phoenix-coyotes-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Phoenix Coyotes,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"10/08/2010 7:00PM, 11/13/2010 7:00PM, 03/15/2011 7:00PM",http://www.zipscene.com/events/view/2649019-chicago-bulls-vs-washington-wizards-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Bulls vs. Washington Wizards,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"10/08/2010 7:00PM, 03/15/2011 7:00PM, 11/13/2010 7:00PM",http://www.zipscene.com/events/view/2649019-chicago-bulls-vs-washington-wizards-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Bulls vs. Washington Wizards,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"03/26/2011 7:30PM, 11/14/2010 6:00PM",http://www.zipscene.com/events/view/2568153-chicago-blackhawks-vs-anaheim-ducks-chicago,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Anaheim Ducks,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"03/26/2011 7:30PM, 11/14/2010 6:00PM",http://www.zipscene.com/events/view/2568153-chicago-blackhawks-vs-anaheim-ducks-chicago,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. Anaheim Ducks,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"10/18/2010 7:30PM, 11/30/2010 7:30PM, 04/06/2011 7:30PM",http://www.zipscene.com/events/view/2563793-chicago-blackhawks-vs-st-louis-blues-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. St. Louis Blues,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"04/06/2011 7:30PM, 10/18/2010 7:30PM, 11/30/2010 7:30PM",http://www.zipscene.com/events/view/2563793-chicago-blackhawks-vs-st-louis-blues-chicago-sports,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,Chicago Blackhawks vs. St. Louis Blues,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,"04/03/2011 5:00PM, 03/09/2011 7:00PM, 11/10/2010 7:00PM",http://www.zipscene.com/events/view/2566711-columbus-blue-jackets-vs-st-louis-blues-columbus,"200 W. Nationwide Blvd., Columbus, OH 43215",614-246-2000,,,Nationwide Arena,Columbus Blue Jackets vs. St. Louis Blues,http://static1.zipscene.com//data/business_md/BUS_00027021_0_zp1TVdu8.jpg
,"04/03/2011 5:00PM, 03/09/2011 7:00PM, 11/10/2010 7:00PM",http://www.zipscene.com/events/view/2566711-columbus-blue-jackets-vs-st-louis-blues-columbus,"200 W. Nationwide Blvd., Columbus, OH 43215",614-246-2000,,,Nationwide Arena,Columbus Blue Jackets vs. St. Louis Blues,http://static1.zipscene.com//data/business_md/BUS_00027021_0_zp1TVdu8.jpg
