venueLink,zipCode,moreInfoLink,venueName,price,description,time,name,address,startDate,city,image,state
http://www.laweekly.com/locations/eastside-luv-172886/,90033,http://www.laweekly.com/events/burlesque-night-823172/,Eastside Luv,,,11:30pm,Burlesque Night,1835 E. First St.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/verdugo-bar-867394/,90065,http://www.laweekly.com/events/mas-exitos-867396/,Verdugo Bar,No cover,"DJs spin freaky beats from ""the Andes of Peru to the Eastside of L.A."", 10 p.m.; no cover",10:00pm,Mas Exitos,3408 Verdugo Road,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/the-conga-room-398915/,90015,http://www.laweekly.com/events/downtown-fridays-876290/,The Conga Room,,,,Downtown Fridays,800 W. Olympic Blvd.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/akbar-113175/,90029,http://www.laweekly.com/events/gay-dance-night-444606/,Akbar,,"You ever want to take a breather from the slick, gay nightlife scene of West Hollywood? You know, skip the lines and cover charges, those anonymous guys you always see at the gym during the week, and the incredibly expensive fancy drinks? Maybe head off into territories unknown or rarely visited? Maybe even meet a new kind of guy? We do all the time. That's why we like to drive over to Silver Lake on a Friday or Saturday for Akbar's ""Free Dance"" Nights, where you can shimmy on an expanded dance floor and not hear the same music over and over again--either Mike Glass or Jonny Cota will be your DJ for the evening. Akbar, which was named the 2008 ""Best Gay Bar"" in L.A. Weekly, has always been a welcomed, less self-conscious alternative to Boystown, but some people either forget it's there or don't know exists. But it does exist, and it's calling you. And if you're reading this blurb right now and feel a certain stir in your soul, you must obey it and head over to Akbar immediately. Good things are destined to happen.",10:00pm-2:00am,Gay Dance NIght,4356 Sunset Blvd.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/2943132.47.jpg,CA
http://www.laweekly.com/locations/zabumba-113171/,90034,http://www.laweekly.com/events/live-reggae-fridays-831610/,Zabumba,,,,Live Reggae Fridays,10717 Venice Blvd.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/2609182.1.jpg,CA
http://www.laweekly.com/locations/arena-114484/,90038,http://www.laweekly.com/events/delicious-456320/,Arena,,"Bi Latin men and ""papi's"" pump it up",10:00pm-2:00am,Delicious,6655 Santa Monica Blvd.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/2455479.1.jpg,CA
http://www.laweekly.com/locations/eastside-luv-172886/,90033,http://www.laweekly.com/events/carolina-cerisola-and-the-walter-davis-band-561182/,Eastside Luv,,,,Carolina Cerisola & the Walter Davis Band,1835 E. First St.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/tigeorges-haitian-chicken-114655/,90026,http://www.laweekly.com/events/los-puros-784237/,TiGeorge's Haitian Chicken,,,,Los Puros,309 Glendale Blvd.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/eastside-luv-172886/,90033,http://www.laweekly.com/events/trio-ellas-859598/,Eastside Luv,,,,Trio Ellas,1835 E. First St.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/el-cid-114202/,90029,http://www.laweekly.com/events/flamenco-dinner-theater-124192/,El Cid,,,6:00pm,Flamenco Dinner Theater,4212 Sunset Blvd.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/4437997.1.jpg,CA
http://www.laweekly.com/locations/the-conga-room-398915/,90015,http://www.laweekly.com/events/foxxhole-mondays-831872/,The Conga Room,,,8:00pm,FoxxHole Mondays,800 W. Olympic Blvd.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/el-floridita-restaurant-385391/,90038,http://www.laweekly.com/events/johnny-polanco-y-su-conjunto-amistad-124185/,El Floridita Restaurant,,,9:00pm,Johnny Polanco y su Conjunto Amistad,1253 N. Vine St.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/la-cita-116716/,90013,http://www.laweekly.com/events/mucho-wednesdays-727725/,La Cita,,,,Mucho Wednesdays,336 S. Hill St.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/2455498.1.jpg,CA
http://www.laweekly.com/locations/king-king-114939/,90028,http://www.laweekly.com/events/incognito-476293/,King King,,House beats spun every Friday,9:30pm-4:00am,Incognito,6555 Hollywood Blvd.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/la-cita-116716/,90013,http://www.laweekly.com/events/gris-gris-718828/,La Cita,,"KCRW's Michael Barnes and DJ Soul Marcos spin soul and latin grooves, and ska beats",10:00pm-2:00am,Gris-Gris,336 S. Hill St.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/2455498.1.jpg,CA
http://www.laweekly.com/locations/kung-pao-kitty-386642/,90028,http://www.laweekly.com/events/against-the-grain-600084/,Kung Pao Kitty,,"Greg Hetson of Bad Religion and Circle Jerks fame rocks out with rock, alternative and punk jams",10:00pm-2:00am,Against the Grain,6445 Hollywood Blvd.,Ongoing,L.A.,,CA
http://www.laweekly.com/locations/the-echo-114493/,90026,http://www.laweekly.com/events/underground-142389/,The Echo,,"DJs Dia, Larry and Mark spin indie, electro, UK rock and soul. See Live Music section for band lineups",9:00pm-2:00am,Underground,1822 Sunset Blvd.,Ongoing,L.A.,http://vvoice.vo.llnwd.net/e8/4438596.1.jpg,CA
