date,venue,address,website,lastDate,phone,moreInfoLink
11/02/2010,Nietzsche's,"248 Allen St,   Buffalo, NY 14201",http://www.nietzsches.com,11/02/2010,(716) 886-8539,http://calendar.artvoice.com/event/13765/the-genuflektors-
11/11/2010,Tina's Italian Kitchen,"22 Main St,   Hamburg, NY 14075",,11/11/2010,(716) 648-0100,http://calendar.artvoice.com/event/11368/accordianistsinger-dan-petti
11/18/2010,Tina's Italian Kitchen,"22 Main St,   Hamburg, NY 14075",,11/18/2010,(716) 648-0100,http://calendar.artvoice.com/event/11368/accordianistsinger-dan-petti
11/09/2010,Hi Temp Fabrication,"79 Perry St,   Buffalo, NY 14203",http://www.hi-tempfab.com,11/09/2010,(716) 852-5656,http://calendar.artvoice.com/event/13922/beyondin-western-new-york-installations-by-michael-bosworth-jt-r
11/11/2010,Central Park Grill,"2519 Main St,   Buffalo, NY 14214",http://www.myspace.com/centralparkgrill,11/11/2010,(716) 836-9466,http://calendar.artvoice.com/event/14815/reggae-night-hosted-by-the-rockas
11/10/2010,Parings Wine Bar,"5893 Main St,   Williamsville, NY 14221",,11/10/2010,(716) 630-5951,http://calendar.artvoice.com/event/12262/mark-winsicknbspsolo-acoustic
11/09/2010,Merge Restaurant,"439 Delaware Ave,   Buffalo, NY 14201",http://mergebuffalo.com,11/09/2010,(716) 842-0600,http://calendar.artvoice.com/event/14330/hauntings-images-of-the-spirit-world-work-by-marilyn-hammer-esth
11/11/2010,Mooney's Sports Bar & Grill,"1531 Military Rd,   Tonawanda, NY 14217",,11/11/2010,(716) 877-1800,http://calendar.artvoice.com/event/12130/the-bravuras
11/10/2010,Hi Temp Fabrication,"79 Perry St,   Buffalo, NY 14203",http://www.hi-tempfab.com,11/10/2010,(716) 852-5656,http://calendar.artvoice.com/event/13922/beyondin-western-new-york-installations-by-michael-bosworth-jt-r
11/11/2010,Mooney's Sports Bar & Grill,"1531 Military Rd,   Tonawanda, NY 14217",,11/11/2010,(716) 877-1800,http://calendar.artvoice.com/event/13316/thursday-night-blues-session-with-the-bravuras-band
11/10/2010,Merge Restaurant,"439 Delaware Ave,   Buffalo, NY 14201",http://mergebuffalo.com,11/10/2010,(716) 842-0600,http://calendar.artvoice.com/event/14330/hauntings-images-of-the-spirit-world-work-by-marilyn-hammer-esth
11/11/2010,Sportsmen's Tavern,"326 Amherst St,   Buffalo, NY 14207",http://www.sportsmenstavern.com,11/11/2010,(716) 874-7734,http://calendar.artvoice.com/event/13086/john-culliton-mahoney
11/11/2010,Hi Temp Fabrication,"79 Perry St,   Buffalo, NY 14203",http://www.hi-tempfab.com,11/11/2010,(716) 852-5656,http://calendar.artvoice.com/event/13922/beyondin-western-new-york-installations-by-michael-bosworth-jt-r
11/11/2010,Tudor Lounge,"335 Franklin St,   Buffalo, NY 14202",http://www.tudorlounge.com,11/11/2010,(716) 855-9643,http://calendar.artvoice.com/event/451/jony-james
11/11/2010,Merge Restaurant,"439 Delaware Ave,   Buffalo, NY 14201",http://mergebuffalo.com,11/11/2010,(716) 842-0600,http://calendar.artvoice.com/event/14330/hauntings-images-of-the-spirit-world-work-by-marilyn-hammer-esth
11/12/2010,Flattery's,"1130 Orchard Park Rd,   Buffalo, NY 14224",,11/12/2010,(716) 674-9963,http://calendar.artvoice.com/event/2342/ray-wood
