Website,moreInfoLink,latitude,title,phone,image,longitude,description,venue,date,address
http://www.matsusushi.net,http://westport.patch.com/events/wine-appreciation-night,41.140588,Wine Appreciation Night,203-341-9662,"http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/923fcd4a35f297fd57b74ae8c7174b43?1278937164, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/832c4994127e79f21d7399dfaaf4ce90?1278937235, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/70f84e218f49de9347b020816a946dd1?1278937332, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/77bb0ada31c6fd08ff0186177048c545?1278937101, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/82120001b6f44f50bb7b66e6916552a1?1278937869, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/d7cb159976a35a3f87a4d637564fe5a4?1278925502, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/ee923e57667d116e84a7c79727cb9265?1278925316, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/bb8b9031c9c7e1333f87412d92e60c90?1278925797, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/ec3c1150eea681a3b2ffe8ce0287dd97?1278925504, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x121/crop/88x88+0+17/http://hss-prod.hss.aol.com/hss/storage/patch/d013650f89dfb40e1dcdb02bf9a09ec0?1278925797, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/43a4983d3eeaa4d9fff2df1676a4c76e?1278937098, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/391a477ee08d57e179fc801881f61950?1278937205, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/ef2f10a32b784bdb403719cfe3cee87b?1278937162, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/ca7ef3c91ce96092d18023e8883c2197?1278937331, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/580e88750041ceec946e1948d63722e1?1278937233, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/160x88/crop/88x88+36+0/http://hss-prod.hss.aol.com/hss/storage/patch/c0378ba0dd43ad1456a2e4535dd4c454?1278886762, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/130x88/crop/88x88+21+0/http://hss-prod.hss.aol.com/hss/storage/patch/9dc988fe2fc735e7f86fa98ec659a27e?1278866207, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/377ea7c7c2a473ba673a105ec2688f4d?1278925793, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/9cda5f9d50e0bbbbfb9443a75ea60bd3?1278925314, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/ebd8091ade943a2024af277c14114033?1278925796, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/d7cb159976a35a3f87a4d637564fe5a4?1278925502, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/ee923e57667d116e84a7c79727cb9265?1278925316, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/bb8b9031c9c7e1333f87412d92e60c90?1278925797, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/ec3c1150eea681a3b2ffe8ce0287dd97?1278925504, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x121/crop/88x88+0+17/http://hss-prod.hss.aol.com/hss/storage/patch/d013650f89dfb40e1dcdb02bf9a09ec0?1278925797, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/43a4983d3eeaa4d9fff2df1676a4c76e?1278937098, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/391a477ee08d57e179fc801881f61950?1278937205, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/ef2f10a32b784bdb403719cfe3cee87b?1278937162, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/ca7ef3c91ce96092d18023e8883c2197?1278937331, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/923fcd4a35f297fd57b74ae8c7174b43?1278937164, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/580e88750041ceec946e1948d63722e1?1278937233, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/82120001b6f44f50bb7b66e6916552a1?1278937869, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/77bb0ada31c6fd08ff0186177048c545?1278937101, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/70f84e218f49de9347b020816a946dd1?1278937332, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x118/crop/88x88+0+15/http://hss-prod.hss.aol.com/hss/storage/patch/832c4994127e79f21d7399dfaaf4ce90?1278937235, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/160x88/crop/88x88+36+0/http://hss-prod.hss.aol.com/hss/storage/patch/c0378ba0dd43ad1456a2e4535dd4c454?1278886762, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/130x88/crop/88x88+21+0/http://hss-prod.hss.aol.com/hss/storage/patch/9dc988fe2fc735e7f86fa98ec659a27e?1278866207, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/377ea7c7c2a473ba673a105ec2688f4d?1278925793, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/9cda5f9d50e0bbbbfb9443a75ea60bd3?1278925314, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/ebd8091ade943a2024af277c14114033?1278925796",-73.360887,<p>Matsu Sushi features selection of Red Wine &amp; White Wine by bottle up to 38% off regular listing price.</p>&#13; <p>You are invited to enjoy the great food &amp; bargain botter wine.</p>,Matsu Sushi,"Weekly on Mondays, Tuesdays, and Wednesdays, 11:00am–10:00pm","33 Jesup Rd, Westport, CT 06880"
http://www.WestportRiverGallery.com,http://westport.patch.com/events/provence-by-hm-saffer,41.14053,Provence by HM Saffer,203-226-6934,"http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x110/crop/88x88+0+11/http://hss-prod.hss.aol.com/hss/storage/patch/1f5dd94f63c0736b53e3e0d446b68ac2?1279650833, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/105x88/crop/88x88+9+0/http://hss-prod.hss.aol.com/hss/storage/patch/540973003dcda7b9b14cd150fb9a7ae4?1279650865, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x110/crop/88x88+0+11/http://hss-prod.hss.aol.com/hss/storage/patch/72ac952395e282ce2f90e67b4f88bc7c?1279650854, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/112x88/crop/88x88+12+0/http://hss-prod.hss.aol.com/hss/storage/patch/214ed89af3d01f498b5c82b0f137d94e?1279650846, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x110/crop/88x88+0+11/http://hss-prod.hss.aol.com/hss/storage/patch/1f5dd94f63c0736b53e3e0d446b68ac2?1279650833, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/105x88/crop/88x88+9+0/http://hss-prod.hss.aol.com/hss/storage/patch/540973003dcda7b9b14cd150fb9a7ae4?1279650865, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x110/crop/88x88+0+11/http://hss-prod.hss.aol.com/hss/storage/patch/72ac952395e282ce2f90e67b4f88bc7c?1279650854, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/112x88/crop/88x88+12+0/http://hss-prod.hss.aol.com/hss/storage/patch/214ed89af3d01f498b5c82b0f137d94e?1279650846",-73.364529,"<p>A new exhibit is kicks off   by Award winning artist HM Saffer. His new works at the Westport River  Gallery include Provence, and are a unique blend of works by Klimt, Van  Gogh and his own imagination. H.M. admits he is a character. He enjoys  life, his family, a bottle of fine wine at a cafe, and in recent years  his works have achieved a much higher-level of international notice. His  works on board are full of vibrant color and each is a very focused  work of art. We are open Wednesday through Sunday. 203-226-6934. More of his works: http://tinyurl.com/35zgxbt</p>",Westport River Gallery,"Daily, 11:00am–5:00pm","1 Riverside Ave, Westport, CT 06880"
http://www.cjceltic.com,http://cranford.patch.com/events/cougar-soccer-camp-for-boys-and-girls-set-for-july-26-30,40.66834,Cougar Soccer Camp for boys and girls set for July 26-30,,"http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/3880afc925fe104029c942b5efb497fd?1278966511, http://o2.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/3880afc925fe104029c942b5efb497fd?1278966511",-74.297,"<p>The Cranford High School boys and girls soccer programs, in conjunction with Central Jersey Celtic F.A., present their 2010 Cougar Soccer Camp at Orange Avenue School fields during the week of July 26 through July 30. The camp will run from 9:00am-1:00pm and is open for all boys and girls in grades 1-8, from beginners to advanced.</p>&#13; <p>Camp directors are Cranford boys Head Varsity coach Mike Curci, girls Head Varsity coach Jen Michewitz, and P.J. Keim, President of the Central Jersey F.A.</p>&#13; <p>Curci, honored as 2007 Star-Ledger Coach of the Year in Union County, led the CHS boys' varsity team to the Union County Tournament Championship in 2009, the first in the 54-year history of the program. The Cougars also nailed down their third consecutive Mountain Valley Conference Championship, while posting a record-setting 22-1-2 mark, finishing with a # 7 ranking in the Star-Ledger final Top-20. The 2009 team closed the season at 15-6 despite the loss of seven starters to graduation. The 2008 squad finished 9-1 in conference play, and own a conference record of 28-2 over the last three seasons. The 2007 team also finished with 15 wins while posting the first championship of any kind in the fifty-year history of the program. Over the last two seasons, the Cougars are 52-11-3. Curci, entering his 6th season at CHS, began his coaching career by spending several years as an assistant to the legendary Gene Chyzowych of Columbia High School, the all-time winningest coach in state history. Curci led the Columbia J.V. to a 17-0 mark in his 2nd season there before taking over the varsity program at Livingston H.S. where the Lancers made the state tournament all five years while facing perennial powers Columbia, Seton Hall Prep and St. Benedict's. Curci's playing career includes a conference championship at Carteret High School, before becoming a four-year starter at midfield for Seton Hall University where he led the team in goals his junior season and was named captain his senior season. In Coach C.'s five years at the helm, Cranford has gone from 35 players to 90 student/athletes wearing the white, blue and gold at the varsity, J.V. and freshmen levels. The Cougars look forward to building on their county and conference championship seasons as they continue a tradition of excellence. Mike has called Cranford home for the past 20 years with his wife Sally and their four children.</p>&#13; <p>Michewitz is entering her 3rd season as girls Head Varsity Soccer Coach at Cranford. She guided the Lady Cougars to the Union County Championship in 2009, posting victories over rivals Scotch Plains and Westfield in the final two county games en route to a 16-3 record. Michewitz is a graduate of Seton Hall University where she started on the women's soccer team as a defender all 74 games of her career and was a captain her junior and senior years. In 2002, she received honorable mention for the Freshmen All-American Team, and in 2007 she earned the ""Woman of the Year"" Award from Seton Hall University for her accomplishments in athletics, academics and community service. Jen grew up in Pottstown, PA where she was highly involved with the Eastern Pennsylvania Soccer Association, training youth teams and coaching soccer camps. She currently lives in Westfield and teaches math at Cranford High School.</p>&#13; <p>PJ Keim is President of  Central Jersey Football Academy, which currently supplies trainers to many of the local soccer clubs. He has been coaching youth soccer for over 12 years. Keim is the head coach of the two-time state cup finalist CWS Red Devils. PJ has lived in Cranford for 18 years and is the father of three wonderful children.</p>&#13; <p>Once again, Mark Dutton, of Central Jersey F.A., will join the camp as Director of Coaching. His goal is to provide a positive and safe learning environment for all ages to become stronger athletes. Mark has been running camps in the U.S. for the past 12 years. Former star CHS players will also be on-hand to share their expertise and skills.</p>&#13; <p>For more information or for a camp brochure, please call Mike Curci at 908-294-2101 or PJ Keim at 908-591-6734, or email mscurci@aol.com. You can also go to www.cjceltic.com to register.</p>",Orange Avenue School,Daily,"901 Orange Ave, Cranford, NJ 07016"
http://www.WestportRiverGallery.com,http://westport.patch.com/events/visions-of-southern-france-saint-tropez-southport-by-henri-lepetit,41.14053,"Visions of Southern France, Saint Tropez &amp; Southport By Henri Lepetit",203-226-6934,"http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/a6d790bbe706e446565fd7f3ea84f377?1279651164, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/109x88/crop/88x88+10+0/http://hss-prod.hss.aol.com/hss/storage/patch/b9337aac90ce3232b7dd3ae401616163?1279651538, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x146/crop/88x88+0+29/http://hss-prod.hss.aol.com/hss/storage/patch/11cdb8e43c04109eb6fa4c1d0c031e4?1279652155, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/127x88/crop/88x88+20+0/http://hss-prod.hss.aol.com/hss/storage/patch/6683635a50fb6e3736a957ec5b2bd328?1279652180, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/117x88/crop/88x88+15+0/http://hss-prod.hss.aol.com/hss/storage/patch/a6d790bbe706e446565fd7f3ea84f377?1279651164, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x146/crop/88x88+0+29/http://hss-prod.hss.aol.com/hss/storage/patch/11cdb8e43c04109eb6fa4c1d0c031e4?1279652155, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/109x88/crop/88x88+10+0/http://hss-prod.hss.aol.com/hss/storage/patch/b9337aac90ce3232b7dd3ae401616163?1279651538, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/127x88/crop/88x88+20+0/http://hss-prod.hss.aol.com/hss/storage/patch/6683635a50fb6e3736a957ec5b2bd328?1279652180",-73.364529,"<p>Born in Brussels in 1956 Henri Lepetit is  almost larger then life, an Indiana Jones character who seems to have done everything, from bagging spitting  cobras in the Ivory Coast when he was only 13 to fighting in a Squadron  of the S.A.S! With skydiving an ongoing hobby he has been a world  adventurer who has extracted every possible emotion from his incredibly  varied lifestyle. Art has always had a dominant place in his life and  this natural talent means that from the early age of 16 he paid for many  of his world trips by painting and selling his works en route. With no  formal art education he has always had to rely on the public at large to  be his severest critic. What you see here are images from Southport  Connecticut, Paris, Saint Tropez and Southern France.</p>&#13; <p> </p>&#13; <p>http://tinyurl.com/mpzfr2</p>",Westport River Gallery,"Daily, 11:00am–5:00pm","1 Riverside Ave, Westport, CT 06880"
,http://cranford.patch.com/events/elena-margulis-artwork-at-cranford-public-library,40.652751,Elena Margulis Artwork at Cranford Public Library,908-276-3098,"http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/95a7b96d4189a1995106f841cb3e5be7?1279304070, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/150x88/crop/88x88+31+0/http://hss-prod.hss.aol.com/hss/storage/patch/3c3334add27fac554cdbf94211f00bc0?1279299379, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/30ae1995eabeb801d99936dbe1c31ab0?1279304066, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/35b95a0ddef5ab9f68822691912cbc1d?1279304067, http://o4.aolcdn.com/dims-shared/dims3/PATCH/collapsed/150x88/crop/88x88+31+0/http://hss-prod.hss.aol.com/hss/storage/patch/3c3334add27fac554cdbf94211f00bc0?1279299379, http://o1.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/30ae1995eabeb801d99936dbe1c31ab0?1279304066, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/35b95a0ddef5ab9f68822691912cbc1d?1279304067, http://o5.aolcdn.com/dims-shared/dims3/PATCH/collapsed/132x88/crop/88x88+22+0/http://hss-prod.hss.aol.com/hss/storage/patch/95a7b96d4189a1995106f841cb3e5be7?1279304070",-74.304065,"<p>Elena Margulis, a 14-year old resident of Cranford, has her artwork on display at the Cranford Public Library through August 6th. The show includes pottery, sculpture, plush animal creations and sock creatures.  Display is available for viewing during library hours every day except on Sundays through August 6th.</p>",Cranford Public Library,"Weekly on Saturdays, Mondays, Tuesdays, Wednesdays, Thursdays, and Fridays, 9:30am–9:00pm","224 Walnut Ave, Cranford, NJ 07016"
,http://westport.patch.com/events/simply-staples-cookbook,41.15364,Simply Staples Cookbook,,,-73.33128,<p>An exciting cookbook that the staff at Staples High School has put together with the the goal to raise money for Haitian Relief to be distributed by the Red Cross is avaiable to the public.</p>&#13; &#13; <p> </p>&#13; &#13; &#13; <p> </p>&#13; Janice Price and Fran Evan at SHS spearheaded the initiation and development of the cookbook process.,Staples High School,"Daily, 7:30pm–2:30pm","70 North Ave, Westport, CT 06880"
http://musictheatreofct.com,http://westport.patch.com/events/disneys-high-school-musical-2-by-music-theatre-of-conn,41.17807,Disney's 'High School Musical 2' by Music Theatre of Conn,,,-73.349297,"<p>Music Theatre of Connecticut's School of Performing Arts presents Disney's ""High School Musical 2,"" a fully-staged and costumed production performed by the school's students ages seven and up. Performances will be held at 7:30 Friday, Aug. 6, and 1 p.m. Saturday, Aug. 7, at Coleytown Middle School.</p>&#13; <p>Keeping every ounce of the light-hearted fun that makes High School Musical a household name, this buoyant sequel takes on the questions of real kids facing the realities of the adult world. Friendships are tested, summer romances go haywire and the meaning of success is redefined.   </p>&#13; <p>The cost is $12-20. Reservations are suggested. For reservations and more information, call Music Theatre of Connecticut at 203-454-3883 or visit www.musictheatreofct.com </p>&#13; <p>Provided by Music Theatre of Connecticut</p>",Coleytown Middle School,Daily,"255 North Ave, Westport, CT 06880"
http://www.cityofsummit.org/,http://cranford.patch.com/events/hot-summer-nights-free-concert-series,40.71624,Hot Summer Nights Free Concert Series,908-277-2932 x12,"http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x114/crop/88x88+0+13/http://hss-prod.hss.aol.com/hss/storage/patch/be08f6ae7f2e4ad63476c0ee6b3900d5?1278941902, http://o3.aolcdn.com/dims-shared/dims3/PATCH/collapsed/88x114/crop/88x88+0+13/http://hss-prod.hss.aol.com/hss/storage/patch/be08f6ae7f2e4ad63476c0ee6b3900d5?1278941902",-74.35936,"<p>Summit's Village  Green rocks every Tuesday night in July as the Department of Community  Programs presents the Hot Summer Nights Concert Series.The line  up for this exciting concert series has been announced for 2010. The  concerts are held at 7:00 PM on the Village Green.</p>&#13; <p>This year's  concert series is made possible with thanks to the Presenting Sponsor  Investors Savings Bank. Their generous donation and entertainment at  each of the concerts makes the Hot Summer Nights Concert Series the best  in the region. Each night, the Investors Savings staff surprises our  residents with something new and exciting. Premium Sponsors for the  event to date are Otterstedt Insurance and PNC Bank. Without their  assistance, the series could not be a reality. Additional sponsors are  sought for these great concerts.</p>&#13; <p>Mark your calendar and invite your friends. Each Tuesday night in July,  join the Department of Community Programs on the Village Green in Summit  as we rock the Green! For further information or details on how to  become a sponsor, call 908-277-2932.</p>&#13; <p>Summer Concert Schedule:</p>&#13; <p>July 6th ""The Bronx Wanderers""<br /> July 13th ""The  Beth Anne Clayton Band""<br /> July 20th ""Carnaby Street""<br /> July  27th ""The B Street Band""</p>",Village Green,"Weekly on Tuesdays, 7:00pm","Broad St & Maple St, Summit, NJ 07901"
http://www.jumpstartmusic4u.com,http://cranford.patch.com/events/music-summer-school-opportunity,40.62711,MUSIC SUMMER SCHOOL OPPORTUNITY,862-452-2035,,-74.37853,"<p>An Affordable, Effective, and Educational summer music experience grades 3 through 12.    Scheduled for weekday afternoons.  </p>&#13; <p>Get more information:   on the web:  www.jumpstartmusic4u.com</p>&#13; <p>                                                  by email:  jumpstartmusic4u@yahoo.com</p>&#13; <p>                                                  by phone:  862-452-2035</p>",Evangel Church,Daily,"1251 Terrill Rd, Scotch Plains, NJ 07076"
,http://cranford.patch.com/events/registration-6,40.647364,Watch Me Grow Nursery School Registration,,,-74.3047,"<p>Watch Me Grow Nursery School for ages 2-5 is presently holding registration for fall 2010.  We give your child the building blocks to achieve great things in school and in life.  Our nurturing and experienced early childhood educators take the time to make sure that your child is comfortable to learn, grow, and succeed.  Your child discovers the joys of art, music, science, and culture.  Flexible and extended hours are available.  Call 276-5437 to arrange a visit and learn more about our school.</p>",Watch Me Grow Nursery School,Daily,"338 Walnut Ave, Cranford, NJ 07016"
