phone,title,webSite,city,startDate,description,venue,state,endDate
713-522-1138,SEASONS OF SHARING:  HANUKKAH&nbsp,http://www.cmhouston.org,Houston,,"Hanukkah O Hanukkah, come light the menorah! Hanukkah celebrates the miracle Jewish people experienced after reclaiming the Temple of Jerusalem, when a tiny amount of lamp oil lit up the Temple for eight days. The Festival of Lights is celebrated by lighting the Menorah for eight nights.  It is a time of giving, prayer and togetherness. Our Hanukkah celebration is part of Seasons of Sharing, Houston’s only multicultural holiday exhibit for children spotlighting seven cultural celebrations on display Nov. 13 through Jan. 9.",,Texas,
573-238-1174,Friday Night at the Museum--The Night Sky&nbsp,http://www.bcmnh.org,Marble Hill,,"On Friday, Nov. 19, 2010 the Bollinger County Museum will host Jackie Wortmann of SEMO. Jackie will give a program on The Night Sky, with a powerpoint presentation that will show how stars keep being born and then die and get reborn (zillions of years!).  You will see lots of different galaxies and nebulae, which are just beautiful.  A great lesson in diversity.  Then we will build a starwheel and learn to locate 17 constellations.  It is really easy and fun for all ages.  If time and weather permits we may go outside and locate the stars we have learned about. This is a Free Program. The museum will be open from 6-8pm. Program starts at 6:30pm.",,Missouri,
386-873-2976,First Annual Juried Exhibition&nbsp,http://www.floridamuseumforwomenartists.org/special-events/upcoming-events/,DeLand,,"The Annual exhibition coincides with the Museum’s First Anniversary.  The statewide exhibit of contemporary Florida Women Artist. Will be selected by Jurors Dr. Leslie Hammond, John W. Streetman III, and Trish Thompson.   The exhibit will include a variety of styles and materials from women artists currently working and living n Florida.  Juror Dr. Leslie Hammond has held diverse positions in museums.  Juror John W. Streetman, III, has been Executive Director of the Evansville Museum since 1975.   Juror Trish Thompson is a professor at Daytona State College, where she teaches painting, design, and art appreciation.",,Florida,
888-902-1113,Surviving to Thriving: An Everglades Economy&nbsp,http://www.ahtahthiki.com,Clewiston,10/30/2010,Learn how the reliance of the Seminole Tribe of Florida on the Everglades helped to sustain their economy from the mid to late 1800s to the present.,Ah-Tah-Thi-Ki Museum,Florida,09/30/2012
713-522-1138,5TH ANNUAL HOME SWEET HOME GINGERBREAD BASH&nbsp,http://www.cmhouston.org,Houston,,"Bringing together families in the spirit of the season, the Children’s Museum of Houston  will host its delightful, 5th Annual “Home Sweet Home” Gingerbread Bash. Filled with laughter, fun and of course…gingerbread, the evening’s events will feature one-of-a-kind gingerbread houses fashioned by local chefs. These holiday masterpieces will be auctioned off to the highest bidders and proceeds will benefit educational exhibits and programs at the Museum.Bring the whole family and enjoy cocktails and hors d'oeuvres while the kids take pleasure in special holiday activities, including designing their own gingerbread house, kid’s fare, visits with Santa, live DJ entertainment and action-packed exhibits! A Patron Level Membership is your family’s ticket to this exclusive evening event and to a year’s worth of family fun at the Children’s Museum of Houston.",,Texas,
760-371-0965,CASINO NIGHT&nbsp,http://www.randdesertmuseum.com,Randsburg,,CASINO NIGHT,,California,
573-238-1174,Stan Crader Book Signing&nbsp,http://www.bcmnh.org,Marble Hill,,"On Friday, Nov. 19, 2010 the Bollinger County Museum will have a book signing by local author, Stan Crader. Between 5:30 p.m. – 6:30 p.m. Stan will be selling and signing copies of his latest book, “The Paperboy”. Copies of “The Bridge” will also be available. “The Paperboy” brings back a lot of the characters you met in “The Bridge” along with some new faces. Tommy and his friends are older but still getting into interesting situations. Come by and meet Stan and pick up one of his books.  Proceeds from the sale of Stan’s books will benefit the museum.",,Missouri,
321-674-8313,"Friends of Textiles Lecture, Dec. 7th&nbsp",http://http://textiles.fit.edu/future_events.php,Melbourne,,"The Ruth Funk Center for Textile Arts presents “The Language of Mayan Textiles” by Stephanie Schneiderman.    Stephanie Schneiderman was born in Havana, grew up in Mexico City and is the founder and CEO of Tia Stephanie Tours, a company that offers Cultural and Educational Journeys to Mexico, focusing on art history, textile traditions, ancient civilizations of Mesoamerica and present-day indigenous festivals.  She will discuss the cosmological symbolism inherent in the Mayan designs woven by the women of the Chiapas Highlands.    Reception begins at 5:15 pm.",,Florida,
757-877-2933,Saturday Yorktown Market Days at the River &nbsp,http://www.yorkcounty.gov/Default.aspx?tabid=7477,Yorktown,,"Fresh produce, meat and seafood, baked goods, specialty cut flowers, quality art, and live entertainment provided by Neversink (Folk/Americana) await you at the Saturday morning Market. Starts at 8:00 am - wake up with the Market :)",,Virginia,
864-646-7249,19TH CENTURY MOURNING TRADITIONS AND CUSTOMS TOUR&nbsp,http://www.pendletonhistoricfoundation.org,Central,,"As part of their educational mission, the Pendleton Historic Foundation is offering a tour that highlights the traditions and customs of 19th century mourning. Starting at 10 AM, guests will enter the home every 30 minutes, with the last tour entering at 12 noon. Docents dressed in the various stages of mourning will guide visitors through the first floor of the house. Subjects covered during the tour include mourning etiquette, invitations and visitation, draping the house, the stages and dress of mourning, the wake, funeral food, post mortem photography, and consolation literature.",,South Carolina,
