moreInfoLink,webSite,title,fullDetails,phone,endDate,price,venue,eMail,address,startDate
http://www.eventsetter.com/events/USA/Indiana/Indianapolis/Sports-Athletics-Outdoors/event122266.html,http://www.FightForAirClimb.org,Fight For Air Climb,"The Fight For Air Climb is a unique fundraising event for the American Lung Association in Indiana.&nbsp; The event will take place on Saturday, March 12th at the One Indiana Square building downtown Indianapolis.&nbsp; Participants climb the 35 interior flights of stairs once, twice or three times.&nbsp; Sometimes called a &ldquo;vertical road race&rdquo;, teams and individual participants use the event as a fitness target, a race to challenge themselves or to compete against others, or as a great way to be active and make a difference in Indiana&rsquo;s lung health.&nbsp;",317-819-1181,03/12/2011,$25,One Indiana Square,liz.zuercher@lungin.org,"211 N. Pennsylvania St; Indianapolis, IN 46204",03/12/2011
http://www.eventsetter.com/events/USA/Florida/Daytona-Beach/Sports-Athletics-Outdoors/event121554.html,http://www.CWFContinental.com,CWF SuperClash,"The Continental Wrestling Federation presents SuperClash. The world of independent wrestling will never be the same as some of the great independent wrestlers from across the globe converge on Daytona Beach, Florida for an event of epic proportions! Tickets available beginning Saturday, November 6, 2010 at 10 AM at Ocean Center Box Office, Ticketmaster.com, Ticketmaster locations, Charge-by-Phone.",,07/08/2011,"$18, $13, $10",Ocean Center,,"101 N Atlantic Avenue Daytona Beach, FL 32118",07/08/2011
http://www.eventsetter.com/events/USA/Virginia/Richmond/Motor_Sports-Auto_Events/event121267.html,,2011 Virginia International Auto Show,"<p>WHAT:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The 2011 Virginia Motor Trend International Auto Show will showcase hundreds of new cars, trucks, crossovers and hybrids at the Greater Richmond Convention Center. Featuring luxury rides, the latest alternative fuel vehicles, sports cars, specialty displays and giveaways, the show offers a fun-filled day for the whole family. Attendees are invited to sit behind the wheels, inspect engines and explore new automotive technologies &ndash; all in a non-selling environment.</p>  <p>&nbsp;</p>  <p>WHEN:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Friday, March 11&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 10 a.m. &ndash; 10 p.m.</p>  <p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Saturday, March 12&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 10 a.m. &ndash; 10 p.m.</p>  <p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sunday, March 13&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 10 a.m. &ndash; 6 p.m.</p>  <p>&nbsp;</p>  <p>WHERE: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Greater Richmond Convention Center</p>  <p>403 North Third Street</p>  <p>Richmond, VA 23219</p>  <p>&nbsp;</p>  <p>WHO:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Representatives from leading automotive manufacturers will be on site to answer questions and provide information on the latest vehicles. The Virginia Motor Trend International Auto Show is owned and presented by the Greater Richmond New Car Dealers Association and produced by Motor Trend Auto Shows, LLC, the nation&rsquo;s largest auto show producer.</p>  <p>&nbsp;</p>  <p>TICKETS:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Admission is $9 for adults, $5 for seniors (62 and older) and military (with ID) and $3 for children (7-12). Children six and younger are admitted free. On Kids Day, Sunday, March 13, children 12 and younger are admitted free when accompanied by a paying adult. More information and discount coupons can be downloaded at www.VirginiaAutoShow.com. Advance e-tickets may also be purchased online at a savings of $1 off the regular adult admission price.</p>",415-380-8390,03/13/2011,"Admission is $9 for adults, $5 for seniors (62 and older) and military (with ID)",Greater Richmond Convention Center,spin@spinpr.com,"403 North Third Street, Richmond, VA 23219",03/11/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122025.html,http://www.arts.uci.edu/event/beall-center-chico-macmurtrie-opens-feb-3,Works of Chico MacMurtrie,"<p>During the past 20 years, Chico MacMurtrie&#39;s kinetic, monumental  sculputral installations have focused on different representations of  the body -- both human and animal.&nbsp;</p><br> <p>Expanding and contracting in various configurations, the sculptures  developed for the Beall Center exhibition are controlled by  computational methods.&nbsp; Using the principles of a skeletal-muscular  system powered by compressed air, MacMurtrie&#39;s objects oscillate,  creating the illusion of living objects.&nbsp; MacMurtrie&#39;s work dynamically  responds to the movements of its viewers to create a menagerie of moving  forms.</p><br> <p>Exhibition organized by David Familian, Beall Center Artistic  Director</p><br> <p>Gallery Hours:&nbsp; Tuesday - Wednesday: Noon - 5:00  p.m.&nbsp;&nbsp;&nbsp;&nbsp; Thursday - Saturday: Noon - 8:00 p.m. <br>Admission is free.&nbsp;  Public is welcome.</p><br> <p>Artist&#39;s Reception:&nbsp; Thursday,&nbsp;Feb. 3&nbsp;&nbsp;&nbsp; 6:00 - 9:00  p.m.<br>Family Day includes hands-on art and science projects,  art and technology demonstrations, videos and more.&nbsp; All ages welcome&nbsp;&nbsp;&nbsp;  FREE:&nbsp;Saturday,&nbsp;April 16&nbsp;&nbsp;&nbsp;&nbsp; 11:00 a.m. - 3:00 p.m.</p><br> <p>On the campus of the Claire Trevor School of the Arts, University of California, Irvine<br>More  information:&nbsp;&nbsp; (949) 824-6206&nbsp; or &nbsp;http://beallcenter.uci.edu</p>",949-824-6206,05/07/2011,Free,,,"4000 Mesa Rd, Irvine, CA",02/03/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122127.html,http://www.arts.uci.edu/event/second-year-mfa-art-review-february-17-march-4,Second Year MFA Art Review,"<p>Graduate students of the Studio Art MFA program exhibit original work  in the University Art Gallery and Room Gallery.</p><br> <p>Galleries are open Tuesdays - Saturdays, Noon - 5:00 p.m.&nbsp; Free  admission.&nbsp; Public is welcome.</p><br> <p>For more information:&nbsp; (949) 824-9854 or www.ucigallery.com</p>",949-824-9854,03/04/2011,Free,,,"4000 Mesa Rd, Irvine, CA",02/17/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122143.html,http://www.arts.uci.edu/event/senior-art-exhibition-march-10-march-18,Senior Art Exhibition,"<p>Undergraduate seniors of Studio Art exhibit their original work at  the University Gallery and Room Gallery.</p><br> <p>Galleries are open Tuesday - Saturday, Noon - 5:00 p.m.&nbsp;&nbsp; Free  admission. Public is welcome.</p><br> <p>For more information:&nbsp; (949) 824-9854 or www.ucigallery.com</p>",949-824-9854,03/18/2011,Free,,,"4000 Mesa Rd, Irvine, CA",03/10/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122144.html,http://www.arts.uci.edu/event/seventh-annual-juried-undergraduate-art-exhibition-march-31-april-15,Seventh Annual Juried Undergraduate Exhibition,"<p>Undergraduate art students&#39; original work is reviewed by a panel of  art experts.</p><br> <p>University Art Gallery is open Tuesday - Saturday, Noon to 5:00 p.m.&nbsp;  Admission is free.&nbsp; Public is welcome.</p><br> <p>More information:&nbsp; (949) 824-9854 or www.ucigallery.com</p>",949-824-9854,03/15/2011,Free,,,"4000 Mesa Rd, Irvine, CA",03/31/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122144.html,http://www.arts.uci.edu/event/seventh-annual-juried-undergraduate-art-exhibition-march-31-april-15,Seventh Annual Juried Undergraduate Exhibition,"<p>Undergraduate art students&#39; original work is reviewed by a panel of  art experts.</p><br> <p>University Art Gallery is open Tuesday - Saturday, Noon to 5:00 p.m.&nbsp;  Admission is free.&nbsp; Public is welcome.</p><br> <p>More information:&nbsp; (949) 824-9854 or www.ucigallery.com</p>",949-824-9854,03/15/2011,Free,,,"4000 Mesa Rd, Irvine, CA",03/31/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122145.html,http://www.arts.uci.edu/event/undergraduate-art-honors-project-march-31-april-15,Undergraduate Honors Project,"<p>The original work of a talented undergraduate student in Studio Art  is on display in the Room Gallery.</p><br> <p>Gallery is open Tuesday - Saturday, Noon - 5:00 p.m.&nbsp; Admission is  free.&nbsp; Public is welcome.</p><br> <p>More information: (949) 824-9854&nbsp; or www.ucigallery.com</p>",949-824-2787,04/15/2011,Free,,,"4000 Mesa Rd, Irvine, CA",03/31/2011
http://www.eventsetter.com/events/USA/California/Orange-County/Exhibitions-Openings-Screenings/event122144.html,http://www.arts.uci.edu/event/seventh-annual-juried-undergraduate-art-exhibition-march-31-april-15,Seventh Annual Juried Undergraduate Exhibition,"<p>Undergraduate art students&#39; original work is reviewed by a panel of  art experts.</p><br> <p>University Art Gallery is open Tuesday - Saturday, Noon to 5:00 p.m.&nbsp;  Admission is free.&nbsp; Public is welcome.</p><br> <p>More information:&nbsp; (949) 824-9854 or www.ucigallery.com</p>",949-824-9854,03/15/2011,Free,,,"4000 Mesa Rd, Irvine, CA",03/31/2011
