startDate,city,address,venue,description,longitude,zipcode,state,title,website,latitude,moreinfo
,Pittsburgh,621 Penn Avenue,O'Reilly Theater,Presented by Reduced Shakespeare Co.,-80.00132,15222.0,PA,The Complete World of Sports (abridged),http://www.ppt.org,40.44295,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89096
Today,Pittsburgh,719 Liberty Avenue,Benedum Center,"Presented by The Pittsburgh Cultural Trust, Pittsburgh Symphony & Broadway Across America.",-79.99922,15222.0,PA,Mary Poppins,http://www.pgharts.org,40.44261,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89144
,Tarentum,224 E.Seventh Ave.,Allegheny-Kiski Valley Heritage Museum,Military artifacts and exhibits on the Allegheny Valley's industrial heritage.,-79.75533,15084.0,PA,Allegheny-Kiski Valley Heritage Museum,http://www.akvhs.org,40.60269,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23315
,,,Bayernhof Museum,Large collection of automatic roll-played musical instruments and music boxes in a mansion setting. Call for appointment.,-79.91521,,,Bayernhof Museum,http://www.bayernhofmuseum.com,40.49899,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23316
,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Natural History,,-79.94926,15213.0,PA,Carnegie Museum of Natural History,http://www.carnegiemnh.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23156
Today,Pittsburgh,655 Penn Avenue,Cabaret at Theatre Square,Comedy about a blundering comedy trio.,-80.00062,15222.0,PA,Triple Espresso,http://www.pgharts.org,40.44313,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84000
,Pittsburgh,1 Allegheny Avenue,Carnegie Science Center,,-80.00345,15212.0,PA,Carnegie Science Center,http://www.carnegiesciencecenter.org,40.45222,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23661
"Sat., Jan. 8, 7 p.m., Wed., Jan. 19, 7 p.m. and Sat., Jan. 29, 7 p.m",Dormont,1617 Banksville Rd.,Gaetano's Restaurant,Murder mystery dinner theater.,-80.03159,15216.0,PA,Dating Can Be Murder,,40.40978,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74071
,Ligonier,US Route 30,Compass Inn,Demos and tours with costumed guides featuring this restored stagecoach stop.,-79.17752,15655.0,PA,Compass Inn,http://www.compassinn.com,40.20487,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23318
Thursdays-Sundays. Jan. 20   Feb. 5,Pittsburgh,4227 Fifth Ave.,Kuntu Repertory Theater,An intergenerational epic set in Pittsburgh.,-79.95396,15213.0,PA,Traces,http://www.kuntu.org,40.44508,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87096
Tuesdays-Sundays. Jan. 22   Feb. 13,Pittsburgh,1300 Bingham Street,City Theatre,The story of a man coming to terms w/ his family's mysterious past.,-79.98514,15203.0,PA,Marcus; or the Secret of Sweet,http://www.citytheatrecompany.org,40.42936,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81727
Thursdays-Saturdays. Feb.  3   Feb. 12,Pittsburgh,600 Forbes Avenue,Duquesne University,"Tony Award winning musical, evoking the golden age of Hollywood.  Presented by the Red Masquers.",-79.9916,15282.0,PA,A Day in Hollywood/A Night in the Ukraine,http://www.duq.edu,40.43783,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89238
Wednesdays-Sundays. Feb. 18   Feb. 27,Pittsburgh,Forbes Avenue,Henry Heymann Theatre,PittRep presents rare plays by Caryl Churchill.,0.0,15213.0,PA,Churchill in Short(s)?,,0.0,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89184
Thursdays-Sundays. Feb. 24   March 12,Pittsburgh,4227 Fifth Ave.,Kuntu Repertory Theater,A musical celebration of the life of the  gospel singer.,-79.95396,15213.0,PA,Mahalia Jackson: Standing on Holy Ground,http://www.kuntu.org,40.44508,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87100
Tuesdays-Sundays. March 13   April 3,Pittsburgh,1300 Bingham Street,City Theatre,A story of the beauty & limits of communication.,-79.98514,15203.0,PA,Precious Little,http://www.citytheatrecompany.org,40.42936,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81730
March 25-27,Greensburg,23 W. Otterman Street,Palace Theatre,Presented by Stage Right.,-79.5456,15601.0,PA,Jesus Christ Superstar,http://www.thepalacetheatre.org,40.30333,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89163
Wednesdays-Sundays. April  1   April 10,,,Charity Randall Theatre,"Shakespeare's romantic comedy, presented by PittRep.",-79.9506,,,As You Like It,,40.44396,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89185
Tuesdays-Sundays. April  2   May 8,Pittsburgh,1300 Bingham Street,City Theatre,The stories of seven characters inspired by the true life shooting at an Amish schoolhouse in rural Pennsylvania.,-79.98514,15203.0,PA,The Amish Project,http://www.citytheatrecompany.org,40.42936,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81731
Thursdays-Sundays. May  5   May 21,Pittsburgh,4227 Fifth Ave.,Kuntu Repertory Theater,The story of a woman who raises three children while rising to meet everyday challenges.,-79.95396,15213.0,PA,The House that Carol Built,http://www.kuntu.org,40.44508,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87101
