venue,to,description,city,address,zipcode,image,state,email,longitude,title,moreInfoLink,tickets,times,latitude,from
LIVE WELL Lifestyle Enrichment Courses,03/31/2011,"Tartt's Day Care Centers, Inc.  established in 1946, is delighted to offer our own brand of Lifestyle Enrichment Courses at our convenient 1424 Tremont Street location minutes from Boston's Brigham Circle.   Our LIVE WELL Series offers an exciting blend of Multicultural Dance, Fitness, and Hobby Classes for Adults as well as fun children's classes and activities. Enrich your life with our low cost, no membership required, courses designed to add a unique spin to your work-life balance.  *Take a course while your child takes a course   *Take advantage of low cost classes    *No membership required   *Convenient location   *Small Class Sizes  www.livewellattartts.com</p>			</p>    			<br><br>",<br /> 						Boston,1424 Tremont Street,02120,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,info@livewellattartts.com,-71.0959946,LIVE WELL Lifestyle Enrichment Courses,http://www.artsboston.org/event/detail/440694867/LIVE_WELL_Lifestyle_Enrichment_Courses,20% Discount to first-time participants Refer a friend and receive 25% off of a single course Refer two friends and receive 50% off of a single course,6:00-7:00PM 7:15-8:15PM,42.331524,03/30/2010
Seaport World Trade Center,04/10/2011,"Join thousands of activists, media makers, educators, academics, journalists, policymakers and people who want better media at the 2011 National Conference for Media Reform, presented by Free Press. This three-day conference will include speeches, panels, hands-on workshops, meetings, film screenings, live entertainment, parties and more.  Registration will open in the fall. There will also be a limited number of scholarships available. To learn more about the event, please visit www.freepress.net/conference.</p>			</p>    			<br><br>",<br /> 						Boston,1 Seaport Lane,02210,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0418,The 2011 National Conference for Media Reform,http://www.artsboston.org/event/detail/440798729/The_2011_National_Conference_for_Media_Reform,"To register, please visit www.freepress.net/conference.","8 AM-10 PM (Friday, Saturday, and Sunday). Please check the Free Press website for exact times later.",42.3492,04/08/2011
SuperShag Mega Dance Complex,08/12/2011,"SuperShag's dance parties have been voted the best on the East-Coast. No partner or experience necessary. Choice of class, refreshments and performances (check website as this is subject to change) are included in admission.</p>			</p>    			<br><br>",<br /> 						Waltham,406 Moody Street,02453,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/47525/performances_medium.jpg,MA,andy@supershag.com,-71.2372257,"Friday Night Ballroom, Latin, Swing & Salsa  Party",http://www.artsboston.org/event/detail/47525/Friday_Night_Ballroom_Latin_Swing_Salsa_Party,$15 (includes class),8:15pm Class (for both beginner and advanced dancers) 9:00pm General dancing,42.3692226,08/07/2009
Green Street Studios,03/11/2015,"Ongoing class every Monday night at Green Street Studios taught by Artistic Director Nicole Pierce.  Class runs 5:45-7:15 with live music  Thorough warm-up followed by long eclectic phrases. Emphasis on clarity, musicality, expression.  Students cover a wide range of ages and backgrounds. A good balance of demanding movement in an open, humorous atmosphere.</p>			</p>    			<br><br>",<br /> 						Cambridge,185 Green Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41763/trio_medium.jpeg,MA,,-71.1023984,Intermediate Modern Dance,http://www.artsboston.org/event/detail/41763/Intermediate_Modern_Dance,Single Class $15 10-Class Card $120,5:45 - 7:15pm,42.3637149,03/11/2009
Diablo Glass School,01/01/2037,"Participants will learn about the venetian technique of glassblowing and the process to produce amazing and colorful pieces. During this one hour demonstration kids and adults will enjoy learning something unique watching our skilled artists blowing. After the demo, participants can make fused glass pendants or order blown pieces and watch the artists producing them.  Price per event: $15 Demonstration 1-2 PM $10 Additional Hands-On Fused Glass 2-3 PM  Group size limit: 60 for Demonstration 12 for Hands-On Fused Glass</p>			</p>    			<br><br>",<br /> 						Boston,123 Terrace St.,02120,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,info@diabloglassschool.com,-71.0986,Family Experience Sundays at Diablo Glass School,http://www.artsboston.org/event/detail/51657/Family_Experience_Sundays_at_Diablo_Glass_School,"$15 per person for the demonstration, additional $10 for the hands-on fused glass","1:00-3:00 PM, every Sunday year-round",42.3279,10/11/2009
SuperShag Harborside,01/01/2037,"Learn to dance from Boston's original Pole Fitness studio.  These classes are fitness and dance based, suitable for all skill levels.</p>			</p>    			<br><br>",<br /> 						Charlestown,42 Eighth Street Suite 100,02129,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/47527/1_medium.jpg,MA,andy@supershag.com,-71.051293,Just the basics Pole Fitness Class,http://www.artsboston.org/event/detail/47527/Just_the_basics_Pole_Fitness_Class,$25 per person,3:30pm Every Saturday (Charlestown location only),42.374766,08/08/2009
An Tua Nua,01/01/2037,"Metamovements offers semi-private salsa lessons every Wednesday starting at 7 for those who want to quickly learn how to become better dancers. At 7pm we feature a specialized semi-private lesson focused on your specific needs. Each group is based on experience level so whether you're new to salsa or have been dancing for years we have something for you. At 8 we feature a Rueda de Casino class, a type of social, round form of salsa dancing. Each class is followed by a small performance to show off the skills you've learned! At 9, Johnny and Kelly teach a group footwork followed by a partnering routine. From 10 to 1 we have open dancing! Grab a partner and show off what you've just learned! You not only learn a fun skill, but you learn about the history of salsa and rueda and how each dance reflects the culture it has come from.</p>			</p>    			<br><br>",<br /> 						Boston,835 Beacon St,02215,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/42161/metamovements_1-300x279_medium.jpg,MA,,-71.103033,An Tua Nua with Metamovements,http://www.artsboston.org/event/detail/42161/An_Tua_Nua_with_Metamovements,For those only taking the 7pm class (leaving at 8) the cost is $14. For those who want to stay for more than one class or the entire night the cost is $20.,Class Schedule is as follows: 7pm: Beginner to Advanced Semi-private salsa lessons with Metamovements 8pm: Rueda de Casino lessons with Metamovments 9pm: Beginner and Intermediate Salsa lessons with Johnny and Kelly 10pm - 1am: Open Dancing,42.347176,03/25/2009
Wilbur Theatre,03/19/2011,Comedian Paula Poundstone performs at the historic Wilbur Theatre</p>			</p>    			<br><br>,<br /> 						Boston,246 Tremont Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440780163/paulapoundstone_medium.jpg,MA,thewilburtheatre@gmail.com,-71.065086,Paula Poundstone,http://www.artsboston.org/event/detail/440780163/Paula_Poundstone,$22.00 - $35.00,7:00 PM,42.3504843,03/19/2011
Dick's Beantown Comedy Vault @ Remingtons,04/18/2011,"Boston Comedy Legend Dick Doherty welcomes National TV &amp; Stage star home. Sue Started out doing comedy at the Vault back in the 90's with Dane Cook, Robert Kelly, Bill Burr and so many national headliner. Dodgeball is a great event for Sue and Dick who are both know for spontinuity. Dodgeball is comics teasing comics. Hang on for this show</p>			</p>    			<br><br>",<br /> 						Boston,124 Boylston Street,02166,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41981/beantownvaultwebsign2_medium.jpg,MA,,-71.1038021,Sue Costello & Dick Doherty Comedy Dodgeball,http://www.artsboston.org/event/detail/41981/Sue_Costello_Dick_Doherty_Comedy_Dodgeball,,8:30pm,42.3169433,04/03/2014
ImprovBoston Theatre,01/01/2037,"Named for a military officer who staged improvisational plays to entertain troops during WWI, the Sgt. Culpepper's Comedy Jamboree is a weekly event that showcases improv troupes, stand-up comedians, brave audience members and comedy acts of all kinds in a show that's hilarious and different every time.  Each week, The Jam combines two shows into one. During the first segment, The Jam features visiting acts from Boston and beyond, new and experimental formats, encore performances of our Showcase productions, local stand-ups, as well as sketch and multi-media comedy. </p> <p>The second segment is an Open Jam where audience members can get out of their seats and jump on stage to perform alongside with visiting troupes and ImprovBoston cast members.  The first Sunday of every month is The Jam's College Night. Comedy troupes from across New England's colleges and universities showcase their exciting brands of improv and sketch, and put their school rivalries aside and perform together during the Open Jam. Tickets for College Night are only $5 with a valid student ID!  </p> <p>Sgt. Culpepper's Comedy Jamboree is hosted by TheatreSports's John Serpico and the Family Show's Lindsay Gonzales.</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41167/sgtculpepperlogowide_medium.gif,MA,reservations@improvboston.com,-71.103379,Sgt. Culpepper's Comedy Jamboree,http://www.artsboston.org/event/detail/41167/Sgt_Culpeppers_Comedy_Jamboree,$10 general admission/$7 seniors and students,7 pm,42.3659518,02/22/2009
