website,title,fullLocation,moreInfoLink,venueName,description,startDate,endTime,endDate,image,startTime
http://www.lebecfin.com/,Two Fantastic Beer Dinners at the City's Finest French Restaurant,"1523 Walnut St Philadelphia, PA 19102",http://www.upcomingevents.com//events/philadelphia/le-bec-fin/two-fantastic-beer-dinners-at-the-citys-finest-french-restaurant-4450.asp,Le Bec Fin,"Biere Semaine' (Beer week) is finally here in Philadelphia and two fantastic beer dinners are being held at one popular French restaurant. On Wednesday, June 9th and Thursday,...",,,,http://www.upcomingevents.com//images/logos/Philadelphia/Lebecfin_logo.jpg,
http://www.statetheatrenj.org/eventstickets/calendarevents/,Circa,"15 Livingston Avenue new brunswick, NJ 08901",http://www.upcomingevents.com//events/philadelphia/state-theatre/circa-4534.asp,State Theatre,"Circas circus re-imagined, style truly brings physical theatre and dance to a whole other level, as the ensembles multi-skilled performers work to explore (and extend) the limits of what circus can do. Watch as this high-flying group combines dance, circus, and the multimedia use of sound, light, and projection. Pushing their own limits, Circa barrels, bolts, and balances at breakneck speeds with awesome acrobatics to fantastic free-falls, and beyond.  Tickets: $22-42",02/25/2011,10:00 PM,02/25/2011,,8:00 PM
http://www.statetheatrenj.org/eventstickets/calendarevents/,Runt of the Litter,"15 Livingston Avenue new brunswick, NJ 08901",http://www.upcomingevents.com//events/philadelphia/state-theatre/runt-of-the-litter-4535.asp,State Theatre,"Bo Eason performs his powerful and inspirational solo play, drawing on his real-life experience growing up in the shadow of his bigger, stronger, older brother, who was a natural athlete destined for football glory. Through sheer persistence and determination, Bo overcomes his familys low expectations and a series of devastating setbacks to make it to the NFL. Runt of the Litter is a complex story of family relationships and the importance following a dream. These performances take place at the Crossroads Theatre, 7 Livingston Ave Tickets: $30",03/05/2011,5:00 PM,03/05/2011,,3:00 PM
http://www.statetheatrenj.org/eventstickets/calendarevents/,Runt of the Litter,"15 Livingston Avenue new brunswick, NJ 08901",http://www.upcomingevents.com//events/philadelphia/state-theatre/runt-of-the-litter-4537.asp,State Theatre,"Bo Eason performs his powerful and inspirational solo play, drawing on his real-life experience growing up in the shadow of his bigger, stronger, older brother, who was a natural athlete destined for football glory. Through sheer persistence and determination, Bo overcomes his familys low expectations and a series of devastating setbacks to make it to the NFL. Runt of the Litter is a complex story of family relationships and the importance following a dream. These performances take place at the Crossroads Theatre, 7 Livingston Ave. Tickets: $30",03/05/2011,10:00 PM,03/05/2011,,8:00 PM
http://www.statetheatrenj.org/eventstickets/calendarevents/,Tango Buenos Aires,"15 Livingston Avenue new brunswick, NJ 08901",http://www.upcomingevents.com//events/philadelphia/state-theatre/tango-buenos-aires-4538.asp,State Theatre,"Tango from the streets to the ballroom. Its tango in its most rigorous, intense tradition with live, authentic musical accompaniment. Fast and furious the dancers feet and legs flash and weave in and around each other, moving rhythmically and seductively.  Tickets: $32-52",03/11/2011,10:00 PM,03/11/2011,,8:00 PM
http://www.statetheatrenj.org/eventstickets/calendarevents/,The Peking Acrobats,"15 Livingston Avenue new brunswick, NJ 08901",http://www.upcomingevents.com//events/philadelphia/state-theatre/the-peking-acrobats-4539.asp,State Theatre,"Hailing from the Peoples Republic of China, The Peking Acrobats have for decades been diplomats of their spirited culture. Since 1958, this elite group has toured the world over, leaving audiences spellbound by the graceful presentation of their ancient folk art, acrobatics. Carefully selected from the finest acrobat schools in China, these gymnasts, jugglers, cyclists, and tumblers transform 2000-year-old athletic disciplines into an all-ages kaleidoscope of entertainment and wonder. Tickets: $22-42",03/13/2011,5:00 PM,03/13/2011,,4:00 PM
http://www.annenbergcenter.org/tickets/?id=123,Ella the Musical,"University of Pennsylvania 3680 Walnut Street Philadelphia, PA 19104",http://www.upcomingevents.com//events/philadelphia/annenberg-center-for-the-performing-arts/ella-the-musical-4713.asp,Annenberg Center for the Performing Arts,"Its 1966, and the fabled songstress, Ella Fitzgerald, is preparing for one of the most important concerts of her career. Youll be transported to the French Riviera in this exquisite gem of a musical, starring the magnificent vocalist Tina Fabrique and a top-notch band in this exhilarating production the San Diego Union Tribune says turns an American institution into a living, breathing, funny and human personality. Songs include two dozen legendary hits including Night and Day and The Man I Love.",03/22/2011,9:30 PM,03/22/2011,,7:30 PM
http://www.annenbergcenter.org/tickets/?id=123,Ella the Musical,"University of Pennsylvania 3680 Walnut Street Philadelphia, PA 19104",http://www.upcomingevents.com//events/philadelphia/annenberg-center-for-the-performing-arts/ella-the-musical-4714.asp,Annenberg Center for the Performing Arts,"Its 1966, and the fabled songstress, Ella Fitzgerald, is preparing for one of the most important concerts of her career. Youll be transported to the French Riviera in this exquisite gem of a musical, starring the magnificent vocalist Tina Fabrique and a top-notch band in this exhilarating production the San Diego Union Tribune says turns an American institution into a living, breathing, funny and human personality. Songs include two dozen legendary hits including Night and Day and The Man I Love.",03/23/2011,7:30 PM,03/23/2011,,7:30 PM
http://www.annenbergcenter.org/tickets/?id=123,Ella the Musical,"University of Pennsylvania 3680 Walnut Street Philadelphia, PA 19104",http://www.upcomingevents.com//events/philadelphia/annenberg-center-for-the-performing-arts/ella-the-musical-4715.asp,Annenberg Center for the Performing Arts,"Its 1966, and the fabled songstress, Ella Fitzgerald, is preparing for one of the most important concerts of her career. Youll be transported to the French Riviera in this exquisite gem of a musical, starring the magnificent vocalist Tina Fabrique and a top-notch band in this exhilarating production the San Diego Union Tribune says turns an American institution into a living, breathing, funny and human personality. Songs include two dozen legendary hits including Night and Day and The Man I Love.",03/24/2011,4:00 PM,03/24/2011,,2:00 PM
http://www.annenbergcenter.org/tickets/?id=123,Ella the Musical,"University of Pennsylvania 3680 Walnut Street Philadelphia, PA 19104",http://www.upcomingevents.com//events/philadelphia/annenberg-center-for-the-performing-arts/ella-the-musical-4716.asp,Annenberg Center for the Performing Arts,"Its 1966, and the fabled songstress, Ella Fitzgerald, is preparing for one of the most important concerts of her career. Youll be transported to the French Riviera in this exquisite gem of a musical, starring the magnificent vocalist Tina Fabrique and a top-notch band in this exhilarating production the San Diego Union Tribune says turns an American institution into a living, breathing, funny and human personality. Songs include two dozen legendary hits including Night and Day and The Man I Love.",03/24/2011,9:30 PM,03/24/2011,,7:30 PM
