location,moreInfoLink,timeResult,title,image,date
"Logan, Utah",http://www.cbssports.com/collegebasketball/teams/page/UTST/utah-state-aggies,,Utah St. Aggies vs @Hawaii,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/UTST.gif,"Feb 26, 2011"
"Logan, Utah",http://www.cbssports.com/collegebasketball/teams/page/UTST/utah-state-aggies,,Utah St. Aggies vs Fresno St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/UTST.gif,"Mar  1, 2011"
"Logan, Utah",http://www.cbssports.com/collegebasketball/teams/page/UTST/utah-state-aggies,,Utah St. Aggies vs New Mexico St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/UTST.gif,"Mar  6, 2011"
"San Jose, Calif.",http://www.cbssports.com/collegebasketball/teams/page/SJST/san-jose-state-spartans,,San Jose St. Spartans vs Nevada,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SJST.gif,"Feb 25, 2011"
"Logan, Utah",http://www.cbssports.com/collegebasketball/teams/page/UTST/utah-state-aggies,,Utah St. Aggies vs Boise St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/UTST.gif,"Mar 11, 2011"
"San Jose, Calif.",http://www.cbssports.com/collegebasketball/teams/page/SJST/san-jose-state-spartans,,San Jose St. Spartans vs Fresno St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SJST.gif,"Feb 27, 2011"
"Logan, Utah",http://www.cbssports.com/collegebasketball/teams/page/UTST/utah-state-aggies,,Utah St. Aggies vs Louisiana Tech,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/UTST.gif,"Mar 12, 2011"
"San Jose, Calif.",http://www.cbssports.com/collegebasketball/teams/page/SJST/san-jose-state-spartans,,San Jose St. Spartans vs @Idaho,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SJST.gif,"Mar  4, 2011"
"Logan, Utah",http://www.cbssports.com/collegebasketball/teams/page/UTST/utah-state-aggies,,Utah St. Aggies vs New Mexico St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/UTST.gif,"Mar 13, 2011"
"San Jose, Calif.",http://www.cbssports.com/collegebasketball/teams/page/SJST/san-jose-state-spartans,,San Jose St. Spartans vs @Boise St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SJST.gif,"Mar  6, 2011"
